2018-11-25 18:38:06.312066
time[sec],mass[kg],len_CG[m],Iyz[kg*m^2],Ix[kg*m^2],pos_x[m],pos_y[m],pos_z[m],vel_x[m/s],vel_y[m/s],vel_z[m/s],roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
5.18,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.10023330357168,-35.04955037982211,135.81717384479768,-5.660760018856114,-9.108523808559278,15.967522371234704,0.0,0.13471943909221543,0.08636547439526662,-0.5160013431120636,-0.1824312803955471,-0.7324150105299507,0.4050067512353617
5.181,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.1058940397705,-35.05865881256045,135.83313641913634,-5.660708605879903,-9.108369682895205,15.957615848975253,0.0,0.13482601300260602,0.08640723558510896,-0.5159598632480508,-0.18238169392358686,-0.7324322867555372,0.4050506846735057
5.182,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.111554724598186,-35.067767091464944,135.8490890869128,-5.660657177783241,-9.108215594146529,15.947709490691128,0.0,0.13493261788603766,0.08644897185547971,-0.515918344949793,-0.18233207402742393,-0.732449577280757,0.40509464042296756
5.183,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.117215358040475,-35.076875216577974,135.86503184828862,-5.66060573462598,-9.10806154229722,15.937803296297608,0.0,0.1350392537052578,0.08649068327843223,-0.5158767881993687,-0.18228242070647707,-0.7324668821079742,0.4051386184691891
5.184,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.122875940083183,-35.08598318794201,135.8809647034252,-5.660554276467992,-9.107907527331092,15.927897265709998,0.0,0.13514592042315346,0.08653236992616209,-0.515835192978886,-0.18223273396016837,-0.7324842012395166,0.4051826187976091
5.1850000000000005,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.128536470712167,-35.095091005599535,135.89688765248388,-5.660502803369167,-9.107753549231818,15.91799139884369,0.0,0.13525261800275065,0.08657403187100676,-0.5157935592704843,-0.18218301378792354,-0.732501534677676,0.4052266413936631
5.186,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.13419694991335,-35.10419866959302,135.91280069562586,-5.6604513153894125,-9.107599607982921,15.908085695614126,0.0,0.13535934640721456,0.08661566918544582,-0.5157518870563327,-0.18213326018917173,-0.7325188824247073,0.40527068624278334
5.187,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.13985737767272,-35.113306179965015,135.92870383301226,-5.660399812588653,-9.107445703567775,15.89818015593678,0.0,0.13546610559985,0.086657281942101,-0.5157101763186309,-0.1820834731633455,-0.7325362444828295,0.40531475333039924
5.188,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.145517753976314,-35.12241353675808,135.9445970648041,-5.660348295026831,-9.107291835969608,15.888274779727215,0.0,0.13557289554410062,0.08669887021373592,-0.5156684270396091,-0.18203365270988098,-0.7325536208542252,0.40535884264193667
5.189,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-23.15117807881024,-35.131520740014814,135.96048039116226,-5.66029676276391,-9.107138005171501,15.878369566901014,0.0,0.1356797162035497,0.08674043407325642,-0.515626639201528,-0.18198379882821764,-0.7325710115410405,0.40540295416281863
